week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,The Emoji Movie,USA,Animated,2017-07-28,False,14%,8%,PRY,https://flixpatrol.com/title/the-emoji-movie,AME
37,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,PRY,https://flixpatrol.com/title/cobra-kai,AME
36,Movie,Santana,South Africa,Action,2020-08-28,False,39%,,PRY,https://flixpatrol.com/title/santana,AME
36,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,PRY,https://flixpatrol.com/title/cobra-kai,AME
35,Movie,Escape Plan,USA,Action,2013-11-13,False,68%,49%,PRY,https://flixpatrol.com/title/escape-plan,AME
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,PRY,https://flixpatrol.com/title/lucifer,AME
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,PRY,https://flixpatrol.com/title/project-power,AME
34,TV Show,The Great Heist,,,2020-08-14,False,,,PRY,https://flixpatrol.com/title/the-great-heist,AME
33,Movie,Wonder,USA,Drama,2017-11-13,False,80%,93%,PRY,https://flixpatrol.com/title/wonder,AME
33,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,PRY,https://flixpatrol.com/title/dark-desire,AME
32,Movie,Wonder,USA,Drama,2017-11-13,False,80%,93%,PRY,https://flixpatrol.com/title/wonder,AME
32,Documentary TV,Inside the World's Toughest Prisons,United Kingdom,Documentary,2016-04-20,True,65%,,PRY,https://flixpatrol.com/title/inside-the-worlds-toughest-prisons,AME
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,PRY,https://flixpatrol.com/title/the-kissing-booth-2,AME
31,Documentary TV,Inside the World's Toughest Prisons,United Kingdom,Documentary,2016-04-20,True,65%,,PRY,https://flixpatrol.com/title/inside-the-worlds-toughest-prisons,AME
30,Movie,MILF,France,Comedy,2018-05-02,False,,14%,PRY,https://flixpatrol.com/title/milf-2018,AME
30,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,PRY,https://flixpatrol.com/title/dark-desire,AME
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,PRY,https://flixpatrol.com/title/the-old-guard,AME
29,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,PRY,https://flixpatrol.com/title/dark-desire,AME
28,Movie,American Assassin,USA,Action,2017-09-14,False,70%,35%,PRY,https://flixpatrol.com/title/american-assassin,AME
28,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,PRY,https://flixpatrol.com/title/dark-2017,AME
27,Movie,Baby Driver,USA,Action,2017-06-28,False,78%,92%,PRY,https://flixpatrol.com/title/baby-driver,AME
27,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,PRY,https://flixpatrol.com/title/dark-2017,AME
26,Movie,Wonder Woman,USA,Animated,2009-03-03,False,74%,,PRY,https://flixpatrol.com/title/wonder-woman,AME
26,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,PRY,https://flixpatrol.com/title/dark-2017,AME
